axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,weekly,m3_out,ma7,2,2024-12-09,2026-01-19,1.8444389024968395,1.5176303848341461,0.4034953674915056,0.6367220101216373,0.9341044377580661,0.5810627574714385,
service,weekly,m3_out,ma28,2,2024-12-09,2026-01-19,3.0714529546262646,1.613262674628778,0.671920895282634,0.5987547722631623,0.46080128733480175,0.5464144375250227,
service,weekly,m3_out,model_p50,2,2024-12-09,2026-01-19,0.7857395057093615,0.6455258855613895,0.1718908933115696,0.3297737202582031,0.283095064031931,0.30094644788271097,
service,weekly,m3_out,model_p80,2,2024-12-09,2026-01-19,0.9040784659164379,1.3050312038454013,0.19777910363541293,0.3297737202582031,0.283095064031931,0.30094644788271097,
service,weekly,cajas_out,naive_t7,2,2024-12-09,2026-01-19,2.2036290322580645,0.872302208205283,0.6438235677148553,0.14285714285714285,0.13333333333333333,0.17671278162347354,
service,weekly,cajas_out,ma7,2,2024-12-09,2026-01-19,1.4347638248847925,1.483023934656964,0.4191879626939683,0.21224489795918372,0.19188191881918823,0.2625447041263036,
service,weekly,cajas_out,ma28,2,2024-12-09,2026-01-19,2.8017713133640547,1.6048137978557273,0.8185798863989259,0.839030612244898,0.5910683799083476,1.037872033499294,
service,weekly,cajas_out,model_p50,2,2024-12-09,2026-01-19,0.48134951217615907,1.225229402826763,0.1406335438998552,0.22446022830993054,0.25283604669274773,0.2776549391594144,
service,weekly,cajas_out,model_p80,2,2024-12-09,2026-01-19,0.5050832331232995,1.1897082777723724,0.1475677096199714,0.0007275788380293794,0.0007278436198369735,0.0009000073622298245,
service,weekly,pales_out,naive_t7,2,2024-12-09,2026-01-19,1.870796460176991,0.8623482994179287,0.597650615617175,0.2484076433121019,0.30423354547759146,0.3307716273756361,
service,weekly,pales_out,ma7,2,2024-12-09,2026-01-19,1.3190897597977247,1.334557837080644,0.4214006300411951,0.36806187443130123,0.5179534949835309,0.49009935264998106,
service,weekly,pales_out,ma28,2,2024-12-09,2026-01-19,2.210809102402023,1.414128628698521,0.7062721408707494,0.39979526842584173,0.3235504879860896,0.5323545193339566,
service,weekly,pales_out,model_p50,2,2024-12-09,2026-01-19,0.24072697475301336,1.0433176962843618,0.07690340863868608,0.21219496478404778,0.2459541004546064,0.28255198949071897,
service,weekly,pales_out,model_p80,2,2024-12-09,2026-01-19,0.45960768706114663,1.078892214873658,0.14682774046327465,0.10779803883233256,0.11495771177552008,0.14354040099995402,
service,weekly,peso_facturable_out,naive_t7,2,2024-12-09,2026-01-19,2.124587777250819,0.6225014748463461,0.538469741790168,0.16639286552452467,0.1814923844873927,0.19323608511446724,
service,weekly,peso_facturable_out,ma7,2,2024-12-09,2026-01-19,1.2842710137095084,0.520779627123476,0.3254942387156152,0.030540504372937913,0.030081157511673756,0.03546743115363899,
service,weekly,peso_facturable_out,ma28,2,2024-12-09,2026-01-19,2.342679171697722,0.6238324086006884,0.593744284038755,0.5398781119269265,0.4251212760106332,0.6269735932420318,
service,weekly,peso_facturable_out,model_p50,2,2024-12-09,2026-01-19,0.322625167074684,1.2964695304694724,0.08176828101426374,0.36009175982151626,0.4391608640033722,0.418183326133253,
service,weekly,peso_facturable_out,model_p80,2,2024-12-09,2026-01-19,0.3166567199097009,1.2028393823432746,0.08025559783015197,0.06516748293942848,0.06736240203201874,0.07568058426232795,
service,weekly,m3_in,naive_t7,2,2024-12-09,2026-01-19,1.178964025741112,1.01430738062542,0.4326901301796968,0.6138469284994965,0.8856841875840025,1.41603666365965,
service,weekly,m3_in,ma7,2,2024-12-09,2026-01-19,0.9134387292209849,1.4562872231210122,0.33524001922735036,0.7610487699611567,1.228537090902757,1.7556053652208843,
service,weekly,m3_in,ma28,2,2024-12-09,2026-01-19,1.2527297183247175,1.4904051463153543,0.45976278585867897,0.43759620917853553,0.5601576388245458,1.0094573212086895,
service,weekly,m3_in,model_p50,2,2024-12-09,2026-01-19,0.5250108699865605,1.3910401023027292,0.19268359061035864,0.49451605077952254,0.6569529366760467,1.1407613627451025,
service,weekly,m3_in,model_p80,2,2024-12-09,2026-01-19,0.7354988603267854,1.4291380473183182,0.2699345278340988,0.23975772627809763,0.2724144623241523,0.5530788133702284,
service,weekly,cajas_in,naive_t7,2,2024-12-09,2026-01-19,1.8201284796573876,0.47835762011137356,0.5545446476122847,0.8880597014925373,0.6149870801033591,1.164543759985798,
service,weekly,cajas_in,ma7,2,2024-12-09,2026-01-19,1.144386662587947,0.42347470074951055,0.3486641221374045,0.40191897654584224,0.334664891256103,0.5270504171844488,
service,weekly,cajas_in,ma28,2,2024-12-09,2026-01-19,1.7052615478739677,1.544839900825637,0.5195477543049886,0.5493070362473348,0.43094615786722423,0.7203255370140246,
service,weekly,cajas_in,model_p50,2,2024-12-09,2026-01-19,0.2551955502626556,1.2194111804089827,0.07775128408477296,0.2887675406057515,0.3374965674832641,0.37867098004074823,
service,weekly,cajas_in,model_p80,2,2024-12-09,2026-01-19,0.43500147433251457,1.3152247331542564,0.1325333579418285,0.24705633638963703,0.2818759570182646,0.32397361846727346,
service,weekly,pales_in,naive_t7,2,2024-12-09,2026-01-19,1.4266503667481663,0.8649285804473343,0.4225500942153035,0.3741258741258741,0.46021505376344085,0.5811421604246463,
service,weekly,pales_in,ma7,2,2024-12-09,2026-01-19,1.0494236814530213,1.2529758149700296,0.3108218283926746,0.6458541458541459,0.9538915529324973,1.0032267201990221,
service,weekly,pales_in,ma28,2,2024-12-09,2026-01-19,1.9421935033181972,1.4872248235600563,0.5752453908395628,0.07642357642357633,0.07361077700264605,0.1187112824365431,
service,weekly,pales_in,model_p50,2,2024-12-09,2026-01-19,0.37393247067212104,1.2509602039466088,0.11075257427845825,0.5113450874698515,0.6869894200003127,0.7942893272192629,
