fecha,eventos_entrega_p50,eventos_entrega_p80,m3_out_p50,m3_out_p80,pales_out_p50,pales_out_p80,cajas_out_p50,cajas_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,eventos_recogida_p50,eventos_recogida_p80,m3_in_p50,m3_in_p80,pales_in_p50,pales_in_p80,cajas_in_p50,cajas_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,picking_movs_esperados_p50,picking_movs_esperados_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80
2026-04-20,24.0,32.0,41.62275592331485,65.55236070739826,44.0,86.0,40.0,58.0,12258.1038618863,20165.612050312382,14.0,18.0,31.7780011800109,45.60386519709176,37.0,61.0,19.0,27.0,11836.834991168858,30262.689158546214,17.0,86.0,55.0,113.0,76.65724640943083,233.10558876000135,27.0,41.0,66.43379581530365,189.9317425653941,46.214007841578464,65.79956348723269,6.0,17.0
2026-04-21,22.0,33.0,43.25599355359622,73.37999389324438,41.0,85.0,36.0,56.0,12809.076957461286,20557.861660309747,8.0,14.0,18.103745232765068,18.974946009515786,11.0,26.0,16.0,22.0,5632.410063296439,7872.7743861889885,35.0,72.0,21.0,40.0,23.57767136294946,80.82975843879935,11.0,16.0,27.076551636914502,83.48195246308957,19.409596722553083,27.788036295807892,5.0,19.0
2026-04-22,23.0,36.0,50.09799857753393,85.02314809984057,46.0,106.0,43.0,62.0,16013.725256364265,24978.791054574,9.0,15.0,17.571556643097463,24.16665738621595,12.0,28.0,16.0,22.0,5219.1456439543745,9530.214810465208,39.0,99.0,18.0,35.0,22.119268925184148,58.070286818094075,12.0,17.0,25.5618186233705,64.93702409659765,18.08529300924372,24.515901977932756,7.0,19.0
2026-04-23,25.0,41.0,63.52333740070806,105.12740470428923,57.0,103.0,47.0,69.0,16621.40153971057,22631.954500967448,10.0,17.0,19.73578597579771,20.76811556446076,15.0,26.0,16.0,24.0,5477.179983971747,10095.97260889473,40.0,93.0,21.0,38.0,34.68626962323847,89.19073207297049,17.0,24.0,35.05831356107521,89.31534616516997,22.784538598129622,29.799020076588207,4.0,18.0
2026-04-24,27.0,42.0,69.67529200194352,110.05663002237867,64.0,104.0,49.0,73.0,16759.254478184535,25741.808052056444,12.0,18.0,20.299765227020448,21.569905343220437,13.0,22.0,18.0,23.0,4225.982445081836,6415.519868822001,44.0,81.0,13.0,25.0,36.69436876266484,87.2497412256933,16.0,22.0,25.894104121298533,70.01756640005334,18.9512399435748,20.874325441143576,4.0,15.0
2026-04-25,4.0,7.0,5.236808124660801,11.351239032998317,9.0,19.0,5.0,10.0,3234.0877541298614,9940.737159107279,4.0,7.0,10.24234631149888,19.723848102349237,7.0,20.0,8.0,10.0,2965.8903683922795,5958.638355958724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-26,3.0,5.0,4.303706547646156,10.178211995270306,8.0,13.0,3.0,5.0,1959.3047240458952,5832.451618102311,4.0,6.0,8.59842208060227,12.851944314869087,8.0,23.0,7.0,9.0,1994.9617688854278,7185.684274516542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-27,27.0,34.0,45.21778284199189,86.33616232438573,47.0,68.0,38.0,59.0,9135.82403238663,14520.506806780646,18.0,20.0,41.41247313695416,49.46562785260845,51.0,90.0,21.0,34.0,19390.71684477651,33259.788769826824,19.0,87.0,41.0,80.0,90.7194633747666,270.9324905913142,42.0,55.0,78.40606560220516,220.44057173957273,51.078558388851064,64.82303480779753,3.0,12.0
2026-04-28,23.0,32.0,45.90837036518289,90.18266431334739,46.0,67.0,38.0,58.0,7210.170777923651,13744.951067317352,9.0,12.0,19.134382877229367,19.925314662610184,18.0,35.0,16.0,24.0,2265.153009053558,5958.395762654087,37.0,74.0,23.0,45.0,25.98760470235894,87.67201295153964,13.0,19.0,30.037658611508867,90.56484374924189,21.532411953970332,28.06713701285844,5.0,16.0
2026-04-29,24.0,31.0,49.84143443588707,78.28136273231326,45.0,59.0,44.0,53.0,11099.693945348094,19855.958630761088,9.0,12.0,16.97720164658465,23.196166183986495,19.0,37.0,15.0,24.0,1606.3646557951513,6759.9055008601135,40.0,100.0,20.0,40.0,23.50540542829552,62.62721519530573,13.0,19.0,27.29675216523369,69.83850458338667,18.82805102922802,22.972575425097027,5.0,17.0
