axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,empirical_coverage_p80,pinball_loss_p50,pinball_loss_p80,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
workload,daily,workload_no_atribuible_movs,naive_t7,2,2024-12-14,2026-01-10,0.7540410659676715,1.02240684290279,0.8239601661233422,,30.821428571428573,,0.37478991596638656,0.4527894400387014,1.490384495154736,
workload,daily,workload_no_atribuible_movs,ma7,2,2024-12-14,2026-01-10,1.0209074455470262,1.2544638938867476,1.115571958073633,,41.7295918367347,,0.41872749099639855,0.5184203702743349,1.6651060599294423,
workload,daily,workload_no_atribuible_movs,ma28,2,2024-12-14,2026-01-10,1.262700493041253,1.2639341972745508,1.3797854718630185,,51.61288265306122,,0.4576830732292917,0.5824845693710439,1.8200162997365248,
workload,daily,workload_no_atribuible_movs,model_p50,2,2024-12-14,2026-01-10,0.04311667923000516,0.6190161830776117,0.04711471003963206,,1.762394263526461,,0.00037193140520759636,0.00042879817796922886,0.001479017380052002,
workload,daily,workload_no_atribuible_movs,model_p80,2,2024-12-14,2026-01-10,0.14212640506956498,0.9782897622838941,0.15530519704699078,0.8928571428571429,,2.8151538103627813,0.03213790372277992,0.027706473746352083,0.12779915193743535,
workload,daily,picking_movs,naive_t7,2,2024-12-14,2026-01-10,1.1777456647398843,0.8152661451645382,0.8143935853190701,,14.553571428571429,,0.6832579185520362,1.2090395480225988,2.112427042165048,
workload,daily,picking_movs,ma7,2,2024-12-14,2026-01-10,1.2964492155243603,1.4985022912372945,0.8964753226649889,,16.02040816326531,,0.8209437621202328,1.4526773904509964,2.53811006958336,
workload,daily,picking_movs,ma28,2,2024-12-14,2026-01-10,1.4793559042113957,1.4406181039235701,1.0229525736014824,,18.28061224489796,,0.6351001939237233,0.9473976182789234,1.96353790816193,
workload,daily,picking_movs,model_p50,2,2024-12-14,2026-01-10,0.03801885929814576,1.1916552565013323,0.026289474935487445,,0.46980447561280114,,0.01915780147040594,0.01900422054879263,0.05923013373965415,
workload,daily,picking_movs,model_p80,2,2024-12-14,2026-01-10,0.10440080702630787,1.20598307240591,0.07219160306833938,0.8928571428571429,,0.6409229314405599,0.01915780147040594,0.01900422054879263,0.05923013373965415,
workload,daily,picking_movs_atribuibles,naive_t7,2,2024-12-14,2026-01-10,1.323404255319149,0.8965709040047124,0.7673216824535165,,11.107142857142858,,0.3254437869822485,0.3931683862566363,0.9498998319762182,
workload,daily,picking_movs_atribuibles,ma7,2,2024-12-14,2026-01-10,1.3231003039513676,1.5171521537955022,0.7671454487184559,,11.104591836734693,,0.6060862214708369,0.8709464613354774,1.7690342325375283,
workload,daily,picking_movs_atribuibles,ma28,2,2024-12-14,2026-01-10,1.7332066869300915,1.4425716776597686,1.0049288157488665,,14.546556122448981,,0.41842772612003387,0.5289298177200508,1.2212997839694235,
workload,daily,picking_movs_atribuibles,model_p50,2,2024-12-14,2026-01-10,0.01343172512532122,1.152785803482127,0.0077878349566959555,,0.11273055015894595,,0.00811197031345012,0.007982236672560825,0.02367708202142646,
workload,daily,picking_movs_atribuibles,model_p80,2,2024-12-14,2026-01-10,0.11370655627188186,1.2131355011315976,0.06592808336066212,1.0,,0.3817291531984604,0.013597265102400152,0.013518089221165916,0.0396874678600348,
workload,daily,picking_movs_atribuibles_entrega,naive_t7,2,2024-12-14,2026-01-10,1.323404255319149,0.8965709040047124,0.7673216824535165,,11.107142857142858,,0.3254437869822485,0.3931683862566363,0.9498998319762182,
workload,daily,picking_movs_atribuibles_entrega,ma7,2,2024-12-14,2026-01-10,1.3231003039513676,1.5171521537955022,0.7671454487184559,,11.104591836734693,,0.6060862214708369,0.8709464613354774,1.7690342325375283,
workload,daily,picking_movs_atribuibles_entrega,ma28,2,2024-12-14,2026-01-10,1.7332066869300915,1.4425716776597686,1.0049288157488665,,14.546556122448981,,0.41842772612003387,0.5289298177200508,1.2212997839694235,
workload,daily,picking_movs_atribuibles_entrega,model_p50,2,2024-12-14,2026-01-10,0.01343172512532122,1.152785803482127,0.0077878349566959555,,0.11273055015894595,,0.00811197031345012,0.007982236672560825,0.02367708202142646,
workload,daily,picking_movs_atribuibles_entrega,model_p80,2,2024-12-14,2026-01-10,0.11370655627188186,1.2131355011315976,0.06592808336066212,1.0,,0.3817291531984604,0.013597265102400152,0.013518089221165916,0.0396874678600348,
