segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,011009,011013,1,1,0.005155287312963662,0.5694444444444444,43.96885113268608,41,7953
ALL,011013,011009,1,1,0.005155287312963662,0.39805825242718446,43.96885113268608,41,7953
ALL,031149|065072,022199,2,1,0.008801710046523324,0.9459459459459459,43.739000628535514,70,7953
ALL,022199,031149|065072,1,2,0.008801710046523324,0.4069767441860465,43.739000628535514,70,7953
ALL,142004,142003,1,1,0.00628693574751666,0.6493506493506493,43.39735894357743,50,7953
ALL,142003,142004,1,1,0.00628693574751666,0.4201680672268907,43.39735894357742,50,7953
ALL,126105|202068,204082,2,1,0.007670061611970326,0.8133333333333334,43.122933333333336,61,7953
ALL,204082,126105|202068,1,2,0.007670061611970326,0.4066666666666667,43.122933333333336,61,7953
ALL,022199,031149,1,1,0.012825348924933987,0.5930232558139535,42.875581395348846,102,7953
ALL,031149,022199,1,1,0.012825348924933987,0.9272727272727274,42.87558139534884,102,7953
ALL,065072|204082,202068,2,1,0.00867597133157299,0.7040816326530611,42.74474217167782,69,7953
ALL,202068,065072|204082,1,2,0.00867597133157299,0.5267175572519083,42.74474217167782,69,7953
ALL,065072|202068,204082,2,1,0.00867597133157299,0.8023255813953488,42.539302325581396,69,7953
ALL,204082,065072|202068,1,2,0.00867597133157299,0.45999999999999996,42.539302325581396,69,7953
ALL,012019|012040,012037,2,1,0.005029548598013328,0.5263157894736842,42.280701754385966,40,7953
ALL,012037,012019|012040,1,2,0.005029548598013328,0.40404040404040403,42.280701754385966,40,7953
ALL,031149,022199|065072,1,2,0.008801710046523324,0.6363636363636364,41.82644628099174,70,7953
ALL,022199|065072,031149,2,1,0.008801710046523324,0.5785123966942148,41.82644628099173,70,7953
