pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202312574,3,6,5,3,3.0,1
SGE202313249,3,6,6,3,3.0,1
SGE202313365,3,6,4,3,3.0,1
SGE202313574,3,6,5,3,3.0,1
SGE202313669,3,6,5,3,3.0,1
SGE202314908,3,6,5,3,3.0,1
SGE202315034,3,6,5,3,3.0,1
SGE202315436,3,6,4,3,3.0,1
SGE202315696,3,6,5,3,3.0,1
SGE202315840,3,6,4,3,3.0,1
SGE202315899,3,6,5,3,3.0,1
SGE202416988,3,6,6,3,3.0,1
SGE202417713,3,6,5,3,3.0,1
SGE202418705,3,6,5,3,3.0,1
SGE202418968,3,6,6,3,3.0,1
SGE202419473,3,6,5,3,3.0,1
SGE202423737,3,6,4,3,3.0,1
SGP202206328,3,6,6,3,3.0,1
SGP202207741,3,6,5,3,3.0,1
SGP202208525,3,6,5,3,3.0,1
SGP202311260,3,6,6,3,3.0,1
SGP202315791,3,6,4,3,3.0,1
SGP202316688,3,6,6,3,3.0,1
SGP202417493,3,6,6,3,3.0,1
SGP202417585,3,6,5,3,3.0,1
SGP202419487,3,6,5,3,3.0,1
SGP202423386,3,6,5,3,3.0,1
SGE202206524,3,5,5,3,3.0,1
SGE202206978,3,5,5,3,3.0,1
SGE202207498,3,5,5,3,3.0,1
SGE202207660,3,5,4,3,3.0,1
SGE202207877,3,5,3,3,3.0,1
SGE202209529,3,5,4,3,3.0,1
SGE202209561,3,5,4,3,3.0,1
SGE202209712,3,5,4,3,3.0,1
SGE202210333,3,5,4,3,3.0,1
SGE202311628,3,5,5,3,3.0,1
SGE202311904,3,5,4,3,3.0,1
SGE202311931,3,5,5,3,3.0,1
SGE202312532,3,5,5,3,3.0,1
SGE202313297,3,5,5,3,3.0,1
SGE202313421,3,5,4,3,3.0,1
SGE202313628,3,5,4,3,3.0,1
SGE202313976,3,5,5,3,3.0,1
SGE202315135,3,5,4,3,3.0,1
SGE202315392,3,5,5,3,3.0,1
SGE202315549,3,5,4,3,3.0,1
SGE202315685,3,5,5,3,3.0,1
SGE202417716,3,5,5,3,3.0,1
SGE202418462,3,5,5,3,3.0,1
SGE202418713,3,5,4,3,3.0,1
SGE202418726,3,5,5,3,3.0,1
SGE202419194,3,5,5,3,3.0,1
SGE202419313,3,5,5,3,3.0,1
SGE202420861,3,5,5,3,3.0,1
SGE202422253,3,5,3,3,3.0,1
SGE202422659,3,5,5,3,3.0,1
SGE202422869,3,5,4,3,3.0,1
SGP202207627,3,5,5,3,3.0,1
SGP202207674,3,5,3,3,3.0,1
SGP202210072,3,5,4,3,3.0,1
SGP202311078,3,5,4,3,3.0,1
SGP202311650,3,5,4,3,3.0,1
SGP202315857,3,5,4,3,3.0,1
SGP202417592,3,5,4,3,3.0,1
SGP202418923,3,5,5,3,3.0,1
SGP202418992,3,5,5,3,3.0,1
SGP202422730,3,5,5,3,3.0,1
SGE202206314,3,4,4,3,3.0,1
SGE202206848,3,4,3,3,3.0,1
SGE202206921,3,4,4,3,3.0,1
SGE202207534,3,4,4,3,3.0,1
SGE202207718,3,4,4,3,3.0,1
