segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,106020,GORRA TELA GRIS BLANCA IPA,39,011-058-09,7953,0.004903809883062995,7,6559,40210
ALL,125097,FLYER/DIPTICO SANGRIA REPUBLIC DE PAPEL,39,,7953,0.004903809883062995,7,6559,40210
ALL,142017,PLANTA ARTIFICIAL BAMBÚ,39,012-090-00,7953,0.004903809883062995,7,6559,40210
ALL,146027,BOTELLA DECORACIÓN CRISTAL AZUL DAMAJUA,39,013-102-40,7953,0.004903809883062995,7,6559,40210
ALL,174099,TOTEM LUMINOSO MAHOU ROSE,39,011-052-40,7953,0.004903809883062995,7,6559,40210
ALL,206000,ESTRUCTURA ESCENARIO ROJA (E. FUENLA),39,021-123-00,7953,0.004903809883062995,7,6559,40210
ALL,015168,LATA 20CL MOCKTAILS CAFFE CARNIVALE MART,38,015-060-10,7953,0.004778071168112662,7,6559,40210
ALL,071115,VASO CRISTAL 47CL SOLAN LOGO GRIS 2021 X,38,014-126-40,7953,0.004778071168112662,7,6559,40210
ALL,093005,TRASERA 1m ILUMINADA CON LOGO M  MAHOU,38,019-062-00,7953,0.004778071168112662,7,6559,40210
ALL,131142,CARPETA BRUTUS MUJER CHAPA,37,010-096-20,7953,0.004652332453162328,7,6559,40210
ALL,017002,REFRESCO 33CL SIN GAS MULTIFRUTA  SOLAN,36,015-067-20,7953,0.004526593738211996,7,6559,40210
ALL,017019,MOCKTAILS MOCKSCOW MULE 20cCL,36,020-066-20,7953,0.004526593738211996,7,6559,40210
ALL,051180,CUBO VERDE LUMINOSO SAN MIGUEL 50X50,36,012-015-10,7953,0.004526593738211996,7,6559,40210
ALL,092046,BARRA 198x60x100 cm VERDE SAN MIGUEL,36,021-088-00,7953,0.004526593738211996,7,6559,40210
ALL,143055,CAJA METAL ROJA MAHOU,36,011-056-20,7953,0.004526593738211996,7,6559,40210
ALL,017017,MOCKTAILS MOCKAPOLITAN 20CL,35,020-162-20,7953,0.004400855023261662,7,6559,40210
ALL,017018,MOCKTAILS MOCKARITA 20cCL,35,016-131-20,7953,0.004400855023261662,7,6559,40210
ALL,094001,TRASERA VEGETAL VIBRA  MAHOU SIN LOGO,35,020-094-00,7953,0.004400855023261662,7,6559,40210
ALL,131143,CARPETA BRUTUS MUJER GAFAS,35,010-096-20,7953,0.004400855023261662,7,6559,40210
ALL,022021,MESA DIRECTOR MAHOU 2018 MADERA CUADRADA,34,020-077-10,7953,0.004275116308311329,7,6559,40210
ALL,051122,LUMINOSO VERDE CUBO SAN MIGUEL 40x40,34,013-032-10,7953,0.004275116308311329,7,6559,40210
ALL,061007,COPA 33CL MAHOU LOGO ROJO CERVEZAS,34,014-108-40,7953,0.004275116308311329,7,6559,40210
ALL,071039,VASO CRISTAL 40CL IPA MAHOU,34,012-051-07,7953,0.004275116308311329,7,6559,40210
ALL,093045,TRASERA CON ESCUADRA CEMENTO ALHAMBRA,34,200-016-00,7953,0.004275116308311329,7,6559,40210
ALL,103157,CAMISETA NEGRA T-L FOUNDERS BREWING,34,010-077-10,7953,0.004275116308311329,7,6559,40210
ALL,142006,PLANTA ARTIFICIAL PEQUEÑA MOD.3 ROMBO,34,012-057-05,7953,0.004275116308311329,7,6559,40210
